0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:41:06 -0300] "GET /integrador/login.jsp HTTP/1.1" 200 5212
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:41:12 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 12710
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:41:12 -0300] "GET /integrador/img/codoacodo-min.png HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:41:18 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 500 8598
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:53:39 -0300] "GET /integrador/BuscarOradorTemaController HTTP/1.1" 500 2898
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:53:44 -0300] "GET /integrador/ HTTP/1.1" 200 10243
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:53:51 -0300] "GET /integrador/login.jsp HTTP/1.1" 200 5212
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:53:56 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 12710
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:53:56 -0300] "GET /integrador/img/codoacodo-min.png HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:54:01 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 500 2797
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:54:06 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 500 2797
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:55:00 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 500 2620
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:56:55 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:57:11 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:00 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 500 2541
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:05 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 500 2541
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:13 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 500 2541
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:39 -0300] "GET /integrador/BuscarOradorTemaController HTTP/1.1" 500 2642
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:42 -0300] "GET /integrador/ HTTP/1.1" 200 10243
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:47 -0300] "GET /integrador/login.jsp HTTP/1.1" 200 5212
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:54 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 12710
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:54 -0300] "GET /integrador/img/codoacodo-min.png HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:58:59 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 500 2541
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:59:18 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [15/Dec/2023:23:59:26 -0300] "POST /integrador/BuscarOradorTemaController HTTP/1.1" 200 2517
